new_id;root_bogdan;root_form;mpnl;norm;par_index;extent;Reference
3324;480;ла;(лаё).а.н.ьЁ.е;лаАниЕ;2/n;;653
3325;480;ла;(лаё).а.т.и;лаАти1;3;;653
3326;479;ла;(лаё).а.т.и;лаАти2;3;;653
3327;483;лад;(лад).ьЁ.и;ладии;2/f*;;807
3328;483;лад;(лад).ьЁ.иц.а;ладиица;2/f;;807
3331;485;лак;(лак).ът.ь;лакъть;1/m;;
3332;487;ланит;((ланит)).а;ланита;2/f;;
3333;488;ласк;(ласк).а.н.ьЁ.е;ласканиЕ;2/n;;
3334;488;ласк;(ласк).а.т.и;ласкати;7;;
3336;480;ла;(ла).т.еЛ.ь;латеЛь;2/m*;;653
3338;489;лед;(лед).ъ;ледъ;2/m;;
3339;482;леж;(леж).э.т.и;лежати;2;;827
3340;490;лет;(лет).э.т.и;летэти;2;;
3341;482;лег;(лег).т.и;лещи;0;;827
3343;491;лиЁ;(лиЁ).а.т.и;лиАти;3*;;736
3346;492;лиз;(лиз).а.т.и;лизати;3;;
3347;493;лик;(лик).ов.а.т.и;ликовати;6;;
3348;493;лик;(лик).ъ;ликъ;2/m;;
3349;493;лик;(лик).ъств.ов.а.т.и;ликъствовати;6;;
3350;494;лис;(лис).ьЁ.ь;лисии;2/a;;
3351;495;лист;(лист).в.ьЁ.е;листвиЕ;2/n;;
3352;495;лист;(лист).ъ;листъ;2/m;;
3353;494;лис;(лис).ъ;лисъ;2/m;;
3354;497;лих;(лих).в.а;лихва;2/f;;
3360;496;лих;(лих).ов.а.н.ьЁ.е;лихованиЕ;2/n;;828
3361;496;лих;(лих).ов.а.т.и;лиховати;6;;828
3375;496;лих;(лих).от.ък.ъ;лихотъкъ;2/m;;828
3376;496;лих;(лих).ъ;лихъ;2/a;;828
3377;498;лиц;(лиц).е;лице;2/n;;
3386;496;лиш;(лиш).а.т.и;лишати;7;;828
3388;496;лиш;(лиш).ен.ьЁ.е;лишениЕ;2/n;;828
3389;496;лиш;(лиш).и.т.и;лишити;1;;828
3390;527;лйг;(лйг).ъ;лйгъ;2/m;;
3391;527;лйж;(лйж).ьн.ъ;лйжьнъ;2/a;;
3392;526;лйк;(лйк).а;лйка;2/f;;695
3393;526;лйк;(лйк).ав.ъ;лйкавъ;2/a;;695
3394;526;лйк;(лйк).ав.ьн.ов.а.т.и;лйкавьновати;6;;695
3395;526;лйк;(лйк).ав.ьн.ъ;лйкавьнъ;2/a;;695
3396;526;лйк;(лйк).ав.ьств.ьЁ.е;лйкавьствиЕ;2/n;;695
3397;526;лйк;(лйк).ав.ьств.о;лйкавьство;2/n;;695
3398;526;лйк;(лйк).ъ;лйкъ;2/m;;695
3399;526;лйч;(лйч).и.т.и;лйчити;1;;695
3400;529;лйщ;(лйщ).а;лйща;2/f;;
3401;500;лобъз;((лобъз)).а.н.ьЁ.е;лобъзаниЕ;2/n;;660
3402;500;лобъз;((лобъз)).а.т.и;лобъзати;3;;660
3403;500;лобыз;((лобыз)).а.н.ьЁ.е;лобызаниЕ;2/n;;660
3404;500;лобыз;((лобыз)).а.т.и;лобызати;7;;660
3405;481;лов;(лов).и.т.в.а;ловитва;2/f;;657
3406;481;лов;(лов).и.т.и;ловити;1;;657
3407;481;лов;(лов).ъ;ловъ;2/m;;657
3408;481;лов;(лов).ьц.ь;ловьць;2/m;;657
3409;481;лов;(лов).ьч.ь;ловьчь;2/a;;657
3410;482;лож;(лож).е;ложе;2/n;;827
3411;482;лож;(лож).ес.н.о;ложесно;2/n;;827
3412;502;лоз;(лоз).а;лоза;2/f;;
3413;502;лоз;(лоз).ьЁ.е;лозиЕ;2/n;;
3414;502;лоз;(лоз).ьн.ъ;лозьнъ;2/a;;
3415;503;лок;(лок).ы;локы;0/f;;
3416;486;лом;(лом).и.т.и;ломити;1;;657
3417;504;лон;(лон).о;лоно;2/n;;
