root_number;root_form;mphl;norm;par_index;class;extent;reference
933;сяг;до.(сяг).н.й.т.и;досягнйти;5;v;;
992;тък;съ.(тък).а.т.и;сътъкати;3o;v;;660
724;пряг;съ.(пряг).т.и;съпрящи;4c;v;;698
1;ЁавЛ;(ЁавЛ).а.т.и;АвЛАти//;7;v;;655
1;ЁавЛ;(ЁавЛ).ен.ьЁ.е;АвЛЕниЕ//;2/n;n;;655
1;Ёав;(Ёав).и.т.и;Авити//;1;v;;655
1113;эд;(ёэд).ен.ьЁ.е;АдениЕ;2/n;n;;839
1113;эд;(ёэд).ов.ит.ъ;Адовитъ;2/a;a;;839
1115;эдр;(ёэдр).а;Адра;2/n;n;;655
1115;эдр;(ёэдр).о;Адро;2/n;n;;655
1113;эд;(ёэд).ъ;Адъ;2/m;n;;839
1113;эд;(ёэд).ь;Адь;1/f;n;;839
1113;эд;(ёэд).ьц.а;Адьца;2/f;n;;839
344;ЁазвЛ;(ЁазвЛ).а.т.и;АзвЛАти;7;v;;
344;Ёазв;(Ёазв).а;Азва;2/f;n;;
344;Ёазв;(Ёазв).ин.а;Азвина;2/f;n;;
344;Ёазв;(Ёазв).и.т.и;Азвити;1;v;;
344;Ёазв;(Ёазв).ьн.ъ;Азвьнъ;2/a;a;;
343;Ё;(Ё).ак.ъ;Акъ;2/p;;;790
345;Ёам;(Ёам).а;Ама;2/f;n;;
345;Ёам;(Ёам).ьн.ъ;Амьнъ;2/a;a;;
346;Ёар;(Ёар).и.т.и;Арити;1;v;;
346;Ёар;(Ёар).ост.ь;Арость;1/f;n;;
346;Ёар;(Ёар).ъ;Аръ;2/a;a;;
347;Ёар;(Ёар).ьм.ъ;Арьмъ;2/m;n;;
347;Ёар;(Ёар).ьм.ьн.ик.ъ;Арьмьникъ;2/m;n;;
347;Ёар;(Ёар).ьм.ьн.ич.ь;Арьмьничь;2/a;a;;
1113;эд;(ёэд).т.л.и;Асли;1/f;n;;839
349;Ёасн;(Ёасн).ъ;Аснъ;2/a;a;;
1113;эд;(ёэд).т.и;Асти;0;v;;839
1114;э;(ёэ).т.и;Ати;0;v;;840
1113;э;(ёэ).т.о;Ато;2/n;n;;839
;;;Ахати;;v;см. Ати;
350;Ёед;(Ёед).иН.ен.ьЁ.е;ЕдиНЕниЕ;2/n;n;;791
350;Ёед;(Ёед).ин.ак.ъ;Единакъ//;2/p;;;791
350;Ёед;(Ёед).ин.ач.ьн.ъ;Единачьнъ;2/a;a;;791
350;Ёед;(Ёед).ин.ъ;Единъ//;2/p;;;791
350;Ёед;(Ёед).ин.ьств.о;Единьство;2/n;n;;791
350;Ёед;(Ёед).ьн.ак.ъ;Едьнакъ//;2/p;;;791
350;Ёед;(Ёед).ьн.ъ;Едьнъ//;2/p;;;791
351;Ёезер;((Ёезер)).о;Езеро;2/n;n;;
352;Ёел;(Ёел).еН.ь;ЕлеНь;2/a;a;;
352;Ёел;(Ёел).ен.ь;Елень;1/m;n;;
343;Ёел;((Ёел)).ик.ъ;Еликъ;2/p;;;790
276;ес;;Есмь;0;v;см. п. 539;824
276;ес;(ёес).т.ьств.ьЁ.е;ЕстьствиЕ;2/n;n;;824
276;ес;(ёес).т.ьств.о;Естьство;2/n;n;;824
276;ес;(ёес).т.ьств.ьн.ъ;Естьствьнъ;2/a;a;;824
343;Ёетер;((Ёетер)).ъ;Етеръ;2/a;a;;790
305;Звэзд;(Звэзд).а;Звэзда;2/f;n;;62
306;Зэл;(Зэл).о;Зэло;2/a;a;;
373;кес;(кес).аР.ев.ъ;кесаРЕвъ;2/a;a;;
373;кес;(кес).аР.ь;кесаРь;2/m+;n;;
530;ЛубЛ;(ЛубЛ).ен.ьЁ.е;ЛюбЛЕниЕ;2/n;n;;
530;ЛубЛ;(ЛубЛ).ен.ик.ъ;ЛюбЛЕникъ;2/m;n;;
530;Луб;(Луб).ив.ъ;Любивъ;2/a;a;;
530;Луб;(Луб).и.т.и;Любити;1;v;;
530;Луб;(Луб).ъ;Любъ;2/a;a;;
530;Луб;(Луб).ъв.ьн.ъ;Любъвьнъ;2/a;a;;
530;Луб;(Луб).ы;Любы;0/f;n;;
530;Луб;(Луб).ьзн.ъ;Любьзнъ;2/a;a;;
530;Луб;(Луб).ьн.ъ;Любьнъ;2/a;a;;
531;Луд;(Луд).ьЁ.е;ЛюдиЕ;1/m;n;;
531;Луд;(Луд).ьск.ъ;Людьскъ;2/a;a;;
532;Лут;(Лут).о;Люто;2/n;n;;
532;Лут;(Лут).ост.ь;Лютость;1/f;n;;
532;Лут;(Лут).ъ;Лютъ;2/a;a;;
532;Лут;(Лут).ьц.ь;Лютьць;2/m;n;;
622;Нив;(Нив).а;Нива;2/f;n;;
622;Нив;(Нив).ьн.ъ;Нивьнъ;2/a;a;;
356;ЁяЗ;(ЁяЗ).а;ЯЗа;2/f;n;;
355;Ёядр;(Ёядр).ъ;Ядръ;2/a;a;;
357;Ёязык;((Ёязык)).ъ;Языкъ;2/m;n;;
357;Ёязыч;((Ёязыч)).ьн.ик.ъ;Язычьникъ;2/m;n;;
357;Ёязыч;((Ёязыч)).ьн.ъ;Язычьнъ;2/a;a;;
357;Ёязыч;((Ёязыч)).ьск.ъ;Язычьскъ;2/a;a;;
334;я;(ёя).т.и;Яти;4h;v;;655, 691
334;я;(ёя).т.ьЁ.е;ЯтиЕ;2/n;n;;655, 691
358;Ёяч;(Ёяч).ьн.ъ;Ячьнъ;2/a;a;;
358;Ёяч;(Ёяч).ьн.эн.ъ;Ячьнэнъ;2/a;a;;
1;авЛ;(авЛ).а.т.и;авЛАти//;7;v;;655
1;авЛ;(авЛ).ен.ьЁ.е;авЛЕниЕ//;2/n;n;;655
1;ав;(ав).и.т.и;авити//;1;v;;655
2;авор;((авор)).ов.ъ;аворовъ;2/a;a;;
3;агн;(агн).ьц.ь;агньць;2/m;n;;655
3;агн;(агн).я;агня;0/n;n;;655
4;агод;((агод)).а;агода;2/f;n;;
7;аз;(аз).ъ;азъ;0/s;;;786
8;аЁ;(аЁ).ьц.е;аице;2/n;n;;
9;алък;(алък).а.т.и;алъкати;3;v;;807
9;алъч;(алъч).ьб.а;алъчьба;2/f;n;;807
9;алъч;(алъч).ьб.ьн.ъ;алъчьбьнъ;2/a;a;;807
13;ащер;((ащер)).ъ;ащеръ;2/m;n;;
36;бЛьв;(бЛьв).а.т.и;бЛьвати;3h%*;v;;702
36;бЛьв;(бЛьв).от.ин.а;бЛьвотина;2/f;n;;702
35;бЛуд;(бЛуд).ъ;бЛюдъ;2/m;n;;
34;бЛуд;(бЛуд).т.и;бЛюсти;4c;v;;704
19;баН;(баН).а;баНА;2/f;n;;
15;баб;(баб).а;баба;2/f;n;;
17;багър;((багър)).и.т.и;багърити;1;v;;
17;багър;((багър)).ъ;багъръ;2/m;n;;
17;багър;((багър)).эн.иц.а;багърэница;2/f;n;;
14;ба;(ба).л.ьЁ.и;балии;2/f+;n;;
14;ба;(ба).л.ов.а.н.ьЁ.е;балованиЕ;2/n;n;;
14;ба;(ба).л.ьств.о;бальство;2/n;n;;
21;бедр;(бедр).а;бедра;2/f;n;;
20;бедр;(бедр).ьн.ъ;бедрьнъ;2/a;a;;
408;коН;без.за.(коН).ен.ьЁ.е;безакоНЕниЕ;2/n;n;;
408;кон;без.за.(кон).ьЁ.е;безакониЕ;2/n;n;;
408;кон;без.за.(кон).ьн.ьЁ.е;безаконьниЕ;2/n;n;;
408;кон;без.за.(кон).ьн.ик.ъ;безаконьникъ;2/m;n;;
408;кон;без.за.(кон).ьн.ов.а.т.и;безаконьновати;6;v;;
408;кон;без.за.(кон).ьн.ъ;безаконьнъ;2/a;a;;
38;боЁ;без.(боЁ).э.зн.ьЁ.е;безбоАзниЕ;2/n;n;;
37;бож;без.(бож).ьн.ъ;безбожьнъ;2/a;a;;
37;бож;без.(бож).ьств.о;безбожьство;2/n;n;;
48;браш;без.(браш).ьн.ъ;безбрашьнъ;2/a;a;;
70;бэд;без.(бэд).ьн.ъ;безбэдьнъ;2/a;a;;
94;вещ;без.(вещ).ьн.ъ;безвещьнъ;2/a;a;;
96;ви;без.(ви).н.ьн.ъ;безвиньнъ;2/a;a;;732
109;вод;без.(вод).ьн.ъ;безводьнъ;2/a;a;;
117;врэт;без.(врэт).м.ен.ьн.ъ;безврэменьнъ;2/a;a;;62, 746
140;вэд;без.(вэд).ьн.ъ;безвэдьнъ;2/a;a;;
146;вэр;без.(вэр).ьЁ.е;безвэриЕ;2/n;n;;
140;вэд;без.(вэд).т.ьн.ъ;безвэстьнъ;2/a;a;;
172;гнэв;без.(гнэв).ьн.ъ;безгнэвьнъ;2/a;a;;
151;год;без.(год).ьЁ.е;безгодиЕ;2/n;n;;657
192;град;без.(град).ьн.ик.ъ;безградьникъ;2/m;n;;
154;грэ;без.(грэ).ш.ьн.ъ;безгрэшьнъ;2/a;a;;749
216;да;без.(да).р.ьств.ьн.ъ;бездарьствьнъ;2/a;a;;820
784;ръп;без.(ръп).ът.ьн.ъ;бездръпътьнъ;2/a;a;;
253;дрэв;без.(дрэв).ьн.ъ;бездрэвьнъ;2/a;a;;
261;душ;без.(душ).ьн.ъ;бездушьнъ;2/a;a;;706
263;дъЖ;без.(дъЖ).ьЁ.е;бездъЖиЕ;2/n;n;;
264;дън;без.(дън).а;бездъна;2/f;n;;
264;дън;без.(дън).ьЁ.е;бездъниЕ;2/n;n;;
264;дън;без.(дън).ъ;бездънъ;2/a;a;;
333;им;без.(им).ен.ьн.ъ;безименьнъ;2/a;a;;655
549;мил;без.(мил).ост.ив.ъ;безмилостивъ;2/a;a;;
601;мйж;без.(мйж).ьн.ъ;безмйжьнъ;2/a;a;;
555;млъв;без.(млъв).ьЁ.е;безмлъвиЕ;2/n;n;;
555;млъв;без.(млъв).ьн.ъ;безмлъвьнъ;2/a;a;;
555;млъв;без.(млъв).ьств.ьЁ.е;безмлъвьствиЕ;2/n;n;;
581;мьзд;без.(мьзд).ьн.ик.ъ;безмьздьникъ;2/m;n;;
590;мэр;без.(мэр).ьн.ъ;безмэрьнъ;2/a;a;;
225;деЖ;без.на.(деЖ).ьн.ъ;безнадеЖьнъ;2/a;a;;822
1074;чя;без.на.(чя).л.ьн.ъ;безначяльнъ;2/a;a;;688
634;ок;без.(ок).ов.а.т.и;безоковати;6;v;;
634;оч;без.(оч).ьств.о;безочьство;2/n;n;;
1015;умЛ;без.(умЛ).ь;безумЛь;2/a;a;;
1015;ум;без.(ум).ьЁ.е;безумиЕ;2/n;n;;
1015;ум;без.(ум).ьн.ик.ъ;безумьникъ;2/m;n;;
1015;ум;без.(ум).ьн.ъ;безумьнъ;2/a;a;;
324;зъл;без.(зъл).об.ьЁ.е;безълобиЕ;2/n;n;;
324;зъл;без.(зъл).об.ив.ъ;безълобивъ;2/a;a;;
324;зъл;без.(зъл).об.ьн.ъ;безълобьнъ;2/a;a;;
763;рат;без.(рат).ьЁ.ь;бездратии;2/a;a;;830
1090;чу;безъ.(чу).в.ьств.ьн.ъ;безъчувьствьнъ;2/a;a;;
810;свэт;без.(свэт).ьн.ъ;бесвэтьнъ;2/a;a;;674
827;скврь;без.(скврь).н.ьн.ъ;бескврьньнъ;2/a;a;;62
408;кон;без.(кон).ьч.ьн.ъ;бесконьчьнъ;2/a;a;;
836;скръб;без.(скръб).ьн.ъ;бескръбьнъ;2/a;a;;
844;слов;без.(слов).ес.ьн.ъ;бесловесьнъ;2/a;a;;720
844;слов;без.(слов).ьн.ъ;бесловьнъ;2/a;a;;720
852;слън;без.(слън).ьн.ъ;беслъньнъ;2/a;a;;
660;печ;без.(печ).эл.ьн.ъ;беспечальнъ;2/a;a;;665
748;пйт;без.(пйт).ьн.ъ;беспйтьнъ;2/a;a;;
671;плач;без.(плач).ьн.ъ;бесплачьнъ;2/a;a;;
673;плод;без.(плод).ьн.ъ;бесплодьнъ;2/a;a;;661
682;плът;без.(плът).ьн.ъ;бесплътьнъ;2/a;a;;
698;посаг;без.((посаг)).аЁ.а;беспосагаА;2/f;n;;
703;прав;без.(прав).ьд.ьЁ.е;бесправьдиЕ;2/n;n;;
703;прав;без.(прав).ьд.ьн.ъ;бесправьдьнъ;2/a;a;;
375;клад;без.при.(клад).ьн.ъ;бесприкладьнъ;2/a;a;;
874;срам;без.(срам).ьЁ.е;бесрамиЕ;2/n;n;;62
874;срам;без.(срам).ък.ъ;бесрамъкъ;2/m;n;;62
874;срам;без.(срам).ьн.ъ;бесрамьнъ;2/a;a;;62
1006;тйж;без.(тйж).ьн.ъ;бестйжьнъ;2/a;a;;701
890;страд;без.(страд).т.ьЁ.е;бестрастиЕ;2/n;n;;
890;страд;без.(страд).т.ьн.ъ;бестрастьнъ;2/a;a;;
905;студ;без.(студ).ьЁ.е;бестудиЕ;2/n;n;;725
905;студ;без.(студ).ьн.ик.ъ;бестудьникъ;2/m;n;;725
905;студ;без.(студ).ьн.ъ;бестудьнъ;2/a;a;;725
905;студ;без.(студ).ьц.ь;бестудьць;2/m;n;;725
999;тьл;без.(тьл).э.н.ьЁ.е;бестьлэниЕ;2/n;n;;
999;тьл;без.(тьл).э.н.ъ;бестьлэнъ;2/a;a;;
999;тьл;без.(тьл).э.н.ьн.ъ;бестьлэньнъ;2/a;a;;
1024;хвал;без.(хвал).ьн.ъ;бесхвальнъ;2/a;a;;
1040;храм;без.(храм).ьн.ик.ъ;бесхрамьникъ;2/m;n;;
539;мрь;без.съ.(мрь).т.ьЁ.е;бесъмрьтиЕ;2/n;n;;756, 835
539;мрь;без.съ.(мрь).т.ьн.ъ;бесъмрьтьнъ;2/a;a;;756, 835
539;мрь;без.съ.(мрь).т.ьств.о;бесъмрьтьство;2/n;n;;756, 835
918;съп;без.(съп).н.ьЁ.е;бесъниЕ;2/n;n;;660
22;бесэд;((бесэд)).а;бесэда;2/f;n;;
22;бесэд;((бесэд)).ов.а.н.ьЁ.е;бесэдованиЕ;2/n;n;;
22;бесэд;((бесэд)).ов.а.т.и;бесэдовати;6;v;;
1055;цэн;без.(цэн).ьн.ъ;бецэньнъ;2/a;a;;
1076;чит;без.(чит).т.л.ьн.ъ;бечисльнъ;2/a;a;;659
1076;чит;без.(чит).т.м.ен.ьн.ъ;бечисменьнъ;2/a;a;;659
1076;чьт;без.(чьт).ств.ов.а.т.и;бечьствовати;6;v;;659
1076;чьт;без.(чьт).т.ьЁ.е;бечьстиЕ;2/n;n;;659
1076;чьт;без.(чьт).т.ьн.ъ;бечьстьнъ;2/a;a;;659
23;бьЁ;(бьЁ).ен.ьЁ.е;биЕниЕ;2/n;n;;679, 730
25;бисьр;((бисьр)).ъ;бисьръ;2/m;n;;
23;би;(би).т.и;бити;4h*);v;;679, 730
26;бич;(бич).ь;бичь;2/m;n;;730
27;благ;(благ).о;благо;2/n;n;;
27;благ;(благ).ост.ыН.и;благостыНи;2/f+;n;;
27;благ;(благ).ост.ь;благость;1/f;n;;
27;благ;(благ).ост.ьн.ъ;благостьнъ;2/a;a;;
27;благ;(благ).ъ;благъ;2/a;a;;
27;благ;(благ).ыН.и;благыНи;2/f+;n;;
27;блаж;(блаж).ен.ьЁ.е;блажениЕ;2/n;n;;
27;блаж;(блаж).ен.ик.ъ;блаженикъ;2/m;n;;
27;блаж;(блаж).ен.ьн.ъ;блаженьнъ;2/a;a;;
27;блаж;(блаж).ен.ьств.о;блаженьство;2/n;n;;
27;блаж;(блаж).и.т.и;блажити;1;v;;
27;блаж;(блаж).ьн.ъ;блажьнъ;2/a;a;;
28;блазн;(блазн).а;блазна;2/f;n;;
28;блазн;(блазн).и.т.и;блазнити;1;v;;
28;блазн;(блазн).ъ;блазнъ;2/m;n;;
28;блазн;(блазн).ьн.ич.ь;блазньничь;2/a;a;;
28;блазн;(блазн).ьн.ъ;блазньнъ;2/a;a;;
29;блат;(блат).о;блато;2/n;n;;
30;ближ;(ближ).ик.а;ближика;2/f;n;;
30;ближ;(ближ).ьН.ь;ближьНь;2/a;a;;
30;близ;(близ).н.ьц.ь;близньць;2/m;n;;
30;близ;(близ).н.ьч.ьн.ъ;близньчьнъ;2/a;a;;
31;блиск;(блиск).а.т.и;блискати;7;v;;659
31;блиск;(блиск).ъ;блискъ;2/m;n;;659
31;блист;(блист).а.н.ьЁ.е;блистаниЕ;2/n;n;;659
31;блист;(блист).а.т.и;блистати;7;v;;659
33;блйЖ;(блйЖ).ен.ьЁ.е;блйЖениЕ;2/n;n;;692
33;блйд;(блйд).и.л.ищ.е;блйдилище;2/n;n;;692
33;блйд;(блйд).и.т.и;блйдити;1;v;;692
33;блйд;(блйд).ъ;блйдъ;2/m;n;;692
33;блйд;(блйд).ьн.ик.ъ;блйдьникъ;2/m;n;;692
33;блйд;(блйд).ьн.ич.ьств.о;блйдьничьство;2/n;n;;692
33;блйд;(блйд).ьн.иц.а;блйдьница;2/f;n;;692
33;блйд;(блйд).ьн.ич.ьск.ъ;блйдьничьскъ;2/a;a;;692
33;блйд;(блйд).ьн.ъ;блйдьнъ;2/a;a;;692
31;бльщ;(бльщ).э.н.ьЁ.е;бльщаниЕ;2/n;n;;659
31;бльщ;(бльщ).э.т.и;бльщати;2;v;;659
32;блэд;(блэд).ъ;блэдъ;2/a;a;;
32;блэд;(блэд).э.т.и;блэдэти;7;v;;
33;бляд;(бляд).ь;блядь;1/f;n;;692
33;бляд;(бляд).ьн.ик.ъ;блядьникъ;2/m;n;;692
33;бляд;(бляд).ьн.ъ;блядьнъ;2/a;a;;692
33;бляд;(бляд).т.и;блясти;4c;v;;692
38;боЁ;(боЁ).э.зн.ь;боАзнь;1/f;n;;
38;боЁ;(боЁ).э.т.и;боАти;2;v;;
41;боЛар;((боЛар)).ин.ъ;боЛАринъ;2/m++;n;;
41;боЛар;((боЛар)).ьск.ъ;боЛАрьскъ;2/a;a;;
40;боЛ;(боЛ).ьё.ь;боЛии;2/a++;a;;
37;бог;(бог).ат.и.т.и;богатити;1;v;;
37;бог;(бог).ат.ъ;богатъ;2/a;a;;
37;бог;(бог).ат.ьств.ьЁ.е;богатьствиЕ;2/n;n;;
37;бог;(бог).ат.ьств.о;богатьство;2/n;n;;
37;бог;(бог).ат.э.т.и;богатэти;7;v;;
37;бог;(бог).ъ;богъ;2/m;n;;
37;бог;(бог).ыН.и;богыНи;2/f+;n;;
37;бож;(бож).ьЁ.ь;божии;2/a;a;;
37;бож;(бож).ьск.ъ;божьскъ;2/a;a;;
37;бож;(бож).ьств.о;божьство;2/n;n;;
37;бож;(бож).ьств.ьн.ъ;божьствьнъ;2/a;a;;
39;бол;(бол).ь;боль;1/m;n;;
39;бол;(бол).ьн.ъ;больнъ;2/a;a;;
39;бол;(бол).э.зн.ь;болэзнь;1/f;n;;
39;бол;(бол).э.зн.ьн.ъ;болэзньнъ;2/a;a;;
39;бол;(бол).э.т.и;болэти;2;v;;
42;бор;(бор).ен.ьЁ.е;борениЕ;2/n;n;;743
42;бор;(бор).ьц.ь;борьць;2/m;n;;743
18;бод;(бод).т.и;бости;4c;v;;657
44;брад;(брад).а;брада;2/f;n;;
45;брад;(брад).ы;брады;0/f;n;;
44;брад;(брад).э.т.и;брадэти;7;v;;
46;бразд;(бразд).а;бразда;2/f;n;;
24;бра;(бра).к.ъ;бракъ;2/m;n;;742
42;бра;(бра).н.и.т.и;бранити;1;v;;743
42;бра;(бра).н.ь;брань;1/f;n;;743
42;бра;(бра).н.ьск.ъ;браньскъ;2/a;a;;743
42;бра;(бра).т.и;брати;4hj;v;;743
47;брат;(брат).р.ьЁ.а;братриА;2/f;n;;
47;брат;(брат).р.ъ;братръ;2/m;n;;
47;брат;(брат).р.ьН.ь;братрьНь;2/a;a;;
47;брат;(брат).р.ьств.о;братрьство;2/n;n;;
47;брат;(брат).ъ;братъ;2/m;n;;
47;брат;(брат).ьН.ь;братьНь;2/a;a;;
47;брат;(брат).ьств.о;братьство;2/n;n;;
24;бра;(бра).ч.ьн.ъ;брачьнъ;2/a;a;;742
48;браш;(браш).ьн.о;брашьно;2/n;n;;
48;браш;(браш).ьн.ьц.е;брашьньце;2/n;n;;
49;бри;(бри).д.ък.ъ;бридъкъ;2/a;a;;
49;бри;(бри).т.в.а;бритва;2/f;n;;
54;бръН;(бръН).а;бръНА;2/f;n;;
51;бръв;(бръв).ь;бръвь;1/f;n;;
53;бръзд;(бръзд).а;бръзда;2/f;n;;
52;бръз;(бръз).ъ;бръзъ;2/a;a;;
50;брыс;(брыс).а.л.о;брысало;2/n;n;;703
55;брьв;(брьв).ьн.о;брьвьно;2/n;n;;
56;брьн;(брьн).а;брьна;2/f;n;;
56;брьн;(брьн).ьЁ.е;брьниЕ;2/n;n;;
56;брьн;(брьн).ьн.ъ;брьньнъ;2/a;a;;
57;брьсел;((брьсел)).ьЁ.е;брьселиЕ;2/n;n;;681
59;брэг;(брэг).ъ;брэгъ;2/m;n;;
59;брэж;(брэж).ьн.ъ;брэжьнъ;2/a;a;;
24;брэ;(брэ).м.я;брэмя;0/n;n;;742
58;брэг;(брэг).т.и;брэщи;4c*(;v;см. п.  502;744
61;бряц;(бряц).а.н.ьЁ.е;бряцаниЕ;2/n;n;;
62;бу;(буё).ест.ь;буЕсть;1/f;n;;
65;буР;(буР).а;буРА;2/f;n;;
62;бу;(буё).ь;буи;2/a;a;;
62;бу;(буё).ьств.о;буиство;2/n;n;;
64;бук;(бук).ъв.и;букъви;0/f;n;;
65;бур;(бур).ьн.ъ;бурьнъ;2/a;a;;
63;бъд;(бъд).р.ост.ь;бъдрость;1/f;n;;704
63;бъд;(бъд).р.ъ;бъдръ;2/a;a;;704
63;бъд;(бъд).р.ьл.ив.ъ;бъдрьливъ;2/a;a;;704
63;бъд;(бъд).э.н.ьЁ.е;бъдэниЕ;2/n;n;;704
63;бъд;(бъд).э.т.и;бъдэти;2;v;;704
67;быЛ;(быЛ).а;быЛА;2/f;n;;
16;быв;(быв).а.т.и;бывати;7;v;;808
16;бы;(бы).л.ьЁ.е;былиЕ;2/n;n;;808
68;быстр;(быстр).ъ;быстръ;2/a;a;;
16;бы;(бы).т.и;быти;0;v;;808
16;бы;(бы).т.ьЁ.е;бытиЕ;2/n;n;;808
24;бьр;(бьр).а.т.и;бьрати;3o*;v;;742
66;бъчел;((бъчел)).а;бъчела;2/f;n;;
69;бэг;(бэг).а.т.и;бэгати;7;v;;
70;бэд;(бэд).а;бэда;2/f;n;;
70;бэд;(бэд).и.т.и;бэдити;1;v;;
70;бэд;(бэд).ьн.ъ;бэдьнъ;2/a;a;;
69;бэж;(бэж).э.н.ьЁ.е;бэжаниЕ;2/n;n;;
69;бэж;(бэж).э.т.и;бэжати;2;v;;
71;бэл;(бэл).и.т.и;бэлити;1;v;;
71;бэл;(бэл).ост.ь;бэлость;1/f;n;;
71;бэл;(бэл).ъ;бэлъ;2/a;a;;
72;бэс;(бэс).и.т.и;бэсити;1;v;;
72;бэс;(бэс).ов.а.н.ьЁ.е;бэсованиЕ;2/n;n;;
72;бэс;(бэс).ов.ьск.ъ;бэсовьскъ;2/a;a;;
69;бэг;(бэг).ств.о;бэство;2/n;n;;
72;бэс;(бэс).ъ;бэсъ;2/m;n;;
72;бэс;(бэс).ьн.ов.а.т.и;бэсьновати;6;v;;
72;бэс;(бэс).ьн.ъ;бэсьнъ;2/a;a;;
72;бэш;(бэш).ен.ьЁ.е;бэшениЕ;2/n;n;;
76;ваЁ;(ваЁ).а.н.ьЁ.е;ваАниЕ;2/n;n;;
77;ваЛ;(ваЛ).а.т.и;ваЛАти;7;v;;62, 771
80;ваР;(ваР).а.т.и;ваРАти;7;v;;
73;ваб;(ваб).и.т.и;вабити;1;v;;
74;вад;(вад).и.т.и;вадити;1;v;;
77;вал;(вал).и.т.и;валити;1;v;;62, 771
78;вап;(вап).а;вапа;2/f;n;;
81;вар;(вар).и.т.и;варити2;1;v;;678, 809
80;вар;(вар).и.т.и;варити1;1;v;;
81;вар;(вар).ъ;варъ;2/m;n;;678, 809
82;ваш;((ваш)).ь;вашь;2/p;;;787
83;ведр;(ведр).о;ведро;2/n;n;;
86;вел;(вел).ьЁ.ь;велии;2/a;a;;
86;вел;(вел).ьЁ.ьств.о;велииство;2/n;n;;
86;вел;(вел).ик.от.а;великота;2/f;n;;
86;вел;(вел).ик.ъ;великъ;2/a;a;;
86;вел;(вел).ич.а.н.ьЁ.е;величаниЕ;2/n;n;;
86;вел;(вел).ич.а.т.и;величати;7;v;;
86;вел;(вел).ич.ьЁ.е;величиЕ;2/n;n;;
86;вел;(вел).ич.и.т.и;величити;1;v;;
86;вел;(вел).ич.ьств.ьЁ.е;величьствиЕ;2/n;n;;
86;вел;(вел).ич.ьств.о;величьство;2/n;n;;
87;вельбйЖ;((вельбйЖ)).ь;вельбйЖь;2/a;a;;
87;вельбйд;((вельбйд)).ъ;вельбйдъ;2/m;n;;
85;вел;(вел).э.н.ьЁ.е;велэниЕ;2/n;n;;810
85;вел;(вел).э.т.и;велэти;2;v;;810
88;вепр;(вепр).ь;вепрь;1/m;n;;
89;вер;(вер).иг.а;верига;2/f;n;;62, 745
89;вер;(вер).эЁ.а;верэА;2/f;n;;62, 745
90;вес;(вес).ел.ьЁ.е;веселиЕ;2/n;n;;
90;вес;(вес).ел.и.т.и;веселити;1;v;;
90;вес;(вес).ел.ъ;веселъ;2/a;a;;
84;вез;(вез).т.л.о;весло;2/n;n;;661
91;весн;(весн).а;весна;2/f;n;;
91;весн;(весн).ьн.ъ;весньнъ;2/a;a;;
75;вед;(вед).т.и;вести1;4c;v;;661, 666
84;вез;(вез).т.и;вести2;4c;v;;661
92;вет;(вет).ъх.ъ;ветъхъ;2/a;a;;
92;вет;(вет).ъш.а.т.и;ветъшати;7;v;;
93;веч;(веч).еР.а;вечеРА;2/f;n;;665
93;веч;(веч).еР.а.н.ьЁ.е;вечеРАниЕ;2/n;n;;665
93;веч;(веч).еР.а.т.и;вечеРАти;7;v;;665
93;веч;(веч).ер.ъ;вечеръ;2/m;n;;665
93;веч;(веч).ер.ьН.ь;вечерьНь;2/a;a;;665
94;вещ;(вещ).ь;вещь;1/f;n;;
94;вещ;(вещ).ьн.ъ;вещьнъ;2/a;a;;
94;вещ;(вещ).ьств.о;вещьство;2/n;n;;
95;вьЁ;(вьЁ).а.л.иц.а;виАлица;2/f;n;;731
98;вид;(вид).ов.а.т.и;видовати;6;v;;
98;вид;(вид).ъ;видъ;2/m;n;;
98;вид;(вид).ьн.ъ;видьнъ;2/a;a;;
98;вид;(вид).ьц.ь;видьць;2/m;n;;
98;вид;(вид).э.н.ьЁ.е;видэниЕ;2/n;n;;
98;вид;(вид).э.т.и;видэти;2@;v;;
96;ви;(ви).н.а;вина;2/f;n;;732
99;вин;(вин).аР.ь;винаРь;2/m+;n;;
99;вин;(вин).о;вино;2/n;n;;
96;ви;(ви).н.ов.ьн.ъ;виновьнъ;2/a;a;;732
100;виноград;((виноград)).ъ;виноградъ;2/m;n;;
100;виноград;((виноград)).ьн.ъ;виноградьнъ;2/a;a;;
96;ви;(ви).н.ьн.ик.ъ;виньникъ;2/m;n;;732
99;вин;(вин).ьн.ъ;виньнъ;2/a;a;;
96;ви;(ви).н.ьн.ъ;виньнъ;2/a;a;;732
101;вис;(вис).э.н.ьЁ.е;висэниЕ;2/n;n;;663
101;вис;(вис).э.т.и;висэти;2;v;;663
102;вит;(вит).а.т.и;витати;7;v;;
103;влаг;(влаг).а;влага;2/f;n;;62
104;влад;(влад).ык.а;владыка;2/f;n;;62
104;влад;(влад).ыч.иц.а;владычица;2/f;n;;62
104;влад;(влад).ыч.ьН.ь;владычьНь;2/a;a;;62
104;влад;(влад).ыч.ьск.ъ;владычьскъ;2/a;a;;62
104;влад;(влад).ыч.ьств.ьЁ.е;владычьствиЕ;2/n;n;;62
104;влад;(влад).ыч.ьств.о;владычьство;2/n;n;;62
