root_number;root_form;mphl;norm;par_index;class;extent;reference
651;пьЁ;(пьЁ).эн.ъ;пиАнъ;2/a;a;;737
651;пьЁ;(пьЁ).эн.ьств.ьЁ.е;пиАньствиЕ;2/n;n;;737
651;пьЁ;(пьЁ).эн.ьств.о;пиАньство;2/n;n;;737
651;пи;(пи).в.о;пиво;2/n;n;;737
651;пи;(пи).в.ьц.а;пивьца;2/f;n;;737
663;пил;(пил).а;пила;2/f;n;;
651;пи;(пи).р.ъ;пиръ;2/m;n;;737
666;пис;(пис).а.н.ьЁ.е;писаниЕ;2/n;n;;659
667;писк;(писк).а.т.и;пискати;3;v;;
666;пис;(пис).м.ен.ьн.ъ;писменьнъ;2/a;a;;659
666;пис;(пис).м.я;писмя;0/n;n;;659
668;пит;(пит).а.т.и;питати;7;v;;
651;пи;(пи).т.и;пити;4h*);v;;737
651;пи;(пи).т.ьЁ.е;питиЕ;2/n;n;;737
651;пи;(пи).т.ьЁ.ь;питии;2/a;a;;737
668;пит;(пит).э.н.ьЁ.е;питэниЕ;2/n;n;;
668;пит;(пит).э.т.и;питэти;7;v;;
668;пищ;(пищ).а;пища;2/f;n;;
668;пищ;(пищ).ьн.ъ;пищьнъ;2/a;a;;
748;пйт;(пйт).ь;пйть;1/m;n;;
748;пйт;(пйт).ьн.ик.ъ;пйтьникъ;2/m;n;;
748;пйт;(пйт).ьн.ъ;пйтьнъ;2/a;a;;
749;пйч;(пйч).ин.а;пйчина;2/f;n;;
670;плав;(плав).а.т.и;плавати;7;v;;715
669;плав;(плав).ъ;плавъ;2/a;a;;
671;плак;(плак).а.т.и;плакати;3;v;;
654;пла;(пла).м.ен.ь;пламень;1/m;n;;829
654;пла;(пла).м.ен.ьн.ъ;пламеньнъ;2/a;a;;829
654;пла;(пла).м.эн.ъ;пламэнъ;2/a;a;;829
672;плат;(плат).ъ;платъ;2/m;n;;
671;плач;(плач).ев.ьн.ъ;плачевьнъ;2/a;a;;
671;плач;(плач).ь;плачь;2/m;n;;
672;плащ;(плащ).эн.иц.а;плащаница;2/f;n;;
672;плащ;(плащ).эн.ич.ьн.ъ;плащаничьнъ;2/a;a;;
672;плащ;(плащ).ь;плащь;2/m;n;;
673;плед;(плед).м.ен.ьн.ъ;племеньнъ;2/a;a;;661
673;плед;(плед).м.я;племя;0/n;n;;661
676;плет;(плет).н.иц.а;пленица;2/f;n;;661, 672
674;плеск;(плеск).а.т.и;плескати;3;v;;
675;плесн;(плесн).о;плесно;2/n;n;;
675;плесн;(плесн).ьц.е;плесньце;2/n;n;;
676;плет;(плет).т.и;плести;4c;v;;661, 672
677;плещ;(плещ).е;плеще;2/n;n;;
678;плищ;(плищ).ев.а.т.и;плищевати;6;v;;
678;плищ;(плищ).ь;плищь;2/m;n;;
673;плод;(плод).и.т.и;плодити;1;v;;661
673;плод;(плод).ов.ит.ъ;плодовитъ;2/a;a;;661
673;плод;(плод).ъ;плодъ;2/m;n;;661
673;плод;(плод).ьн.ъ;плодьнъ;2/a;a;;661
679;плоск;(плоск).ъ;плоскъ;2/a;a;;
676;плот;(плот).ъ;плотъ;2/m;n;;661, 672
670;плу;(плу).т.и;плути;4h);v;;715
680;плущ;(плущ).а;плуща;2/n;n;;
681;плък;(плък).ъ;плъкъ;2/m;n;;
670;плъ;(плъ).н.ьЁ.е;плъниЕ;2/n;n;;715
682;плът;(плът).ь;плъть;1/f;n;;
682;плът;(плът).ьн.ъ;плътьнъ;2/a;a;;
682;плът;(плът).ьск.ъ;плътьскъ;2/a;a;;
682;плът;(плът).эн.ъ;плътэнъ;2/a;a;;
681;плъч;(плъч).и.т.и;плъчити;1;v;;
683;пльз;(пльз).а.т.и;пльзати;3*;v;;778
683;пльз;(пльз).ък.ъ;пльзъкъ;2/a;a;;778
683;пльз;(пльз).э.т.и;пльзэти;2;v;;778
684;пльн;(пльн).ъ;пльнъ;2/a;a;;
686;плэН;(плэН).а.т.и;плэНАти;7;v;;
686;плэН;(плэН).ен.ьЁ.е;плэНЕниЕ;2/n;n;;
685;плэ;(плэ).в.а;плэва;2/f;n;;
685;плэ;(плэ).в.ел.ъ;плэвелъ;2/m;n;;
685;плэ;(плэ).в.ьн.иц.а;плэвьница;2/f;n;;
685;плэ;(плэ).в.ьн.ъ;плэвьнъ;2/a;a;;
686;плэн;(плэн).и.т.и;плэнити;1;v;;
686;плэн;(плэн).ъ;плэнъ;2/m;n;;
686;плэн;(плэн).ьн.ик.ъ;плэньникъ;2/m;n;;
686;плэн;(плэн).ьн.иц.а;плэньница;2/f;n;;
685;плэ;(плэ).т.и;плэти;0;v;;
687;пляс;(пляс).а.н.ьЁ.е;плясаниЕ;2/n;n;;
687;пляс;(пляс).а.т.и;плясати;3;v;;
687;пляс;(пляс).ьц.ь;плясьць;2/m;n;;
1113;эд;по.(ёэд).а.т.и;поАдати;7;v;;839
348;Ёас;по.(Ёас).а.т.и;поАсати;3;v;;
1113;эд;по.(ёэд).т.и;поАсти;0;v;;839
348;Ёас;по.(Ёас).ъ;поАсъ;2/m;n;;
695;поЛ;(поЛ).е;поЛЕ;2/n;n;;
664;поН;(поН).ав.а;поНАва;2/f;n;;687
664;поН;(поН).ав.иц.а;поНАвица;2/f;n;;687
334;я;по.(ёя).т.и;поЯти;4h;v;;655, 691
22;бесэд;по.((бесэд)).ов.а.т.и;побесэдовати;6;v;;
23;би;по.(би).в.а.т.и;побивати;7;v;;679, 730
23;би;по.(би).т.и;побити;4h*);v;;679, 730
39;бол;по.(бол).э.т.и;поболэти;2;v;;
42;бор;по.(бор).и.т.и;поборити;1;v;;743
42;бра;по.(бра).н.ьск.ъ;побраньскъ;2/a;a;;743
63;бъд;по.(бъд).э.т.и;побъдэти;2;v;;704
16;бы;по.(бы).т.ь;побыть;1/f;n;;808
70;бэЖ;по.(бэЖ).а.т.и;побэЖати;7;v;;
70;бэЖ;по.(бэЖ).ен.ьЁ.е;побэЖениЕ;2/n;n;;
69;бэг;по.(бэг).а.т.и;побэгати;7;v;;
69;бэг;по.(бэг).н.й.т.и;побэгнйти;5;v;;
70;бэд;по.(бэд).а;побэда;2/f;n;;
70;бэд;по.(бэд).и.т.еЛ.ь;побэдитеЛь;2/m+;n;;
70;бэд;по.(бэд).и.т.и;побэдити;1;v;;
