id;root_number;root_form;mphl;norm;par_index;class;extent;reference;;
19;343;j;(j).ак.ъ;ꙗкъ;2/p;a;;790;;
18;344;jазв;(jазв).ьн.ъ;ꙗзвьнъ;2/a;a;;;;
14;344;jазвл҄;(jазвл҄).а.т.и;ꙗзвл҄ꙗти;7;v;;;;
17;344;jазв;(jазв).и.т.и;ꙗзвити;1;v;;;;
16;344;jазв;(jазв).ин.а;ꙗзвина;2/f;n;;;;
15;344;jазв;(jазв).а;ꙗзва;2/f;n;;;;
13;1113;ѣд;(i̯ѣд).ьц.а;ꙗдьца;2/f;n;;839;;
12;1113;ѣд;(i̯ѣд).ь;ꙗдь;1/f;n;;839;;
11;1113;ѣд;(i̯ѣд).ъ;ꙗдъ;2/m;n;;839;;
10;1115;ѣдр;(i̯ѣдр).о;ꙗдро;2/n;n;;655;;
9;1115;ѣдр;(i̯ѣдр).а;ꙗдра;2/n;n;;655;;
8;1113;ѣд;(i̯ѣд).ов.ит.ъ;ꙗдовитъ;2/a;a;;839;;
7;1113;ѣд;(i̯ѣд).ен.ьj.е;ꙗдениѥ;2/n;n;;839;;
5;1;jавл҄;(jавл҄).ен.ьj.е;ꙗвл҄ѥниѥ//;2/n;n;;655;;
4;1;jавл҄;(jавл҄).а.т.и;ꙗвл҄ꙗти//;7;v;;655;;
6;1;jав;(jав).и.т.и;ꙗвити//;1;v;;655;;
6276;354;jун;(jун).ьч.ь;юньчь;2/a;a;;;;
6275;354;jун;(jун).ьц.ь;юньць;2/m;n;;;;
6274;354;jун;(jун).ъ;юнъ;2/a;a;;;;
6273;354;jун;(jун).ош.а;юноша;2/f;n;;;;
6272;354;jун;(jун).от.а;юнота;2/f;n;;;;
6271;354;jун;(jун).ост.ь;юность;1/f;n;;;;
6270;354;jун;(jун).иц.а;юница;2/f;n;;;;
6269;353;jуж;(jуж).ьск.ъ;южьскъ;2/a;a;;;;
6268;353;jуг;(jуг).ъ;югъ;2/m;n;;;;
6267;353;jуг;(jуг).ов.ъ;юговъ;2/a;a;;;;
6266;1108;щѧд;(щѧд).ѣ.т.и;щѧдѣти;2;v;;838;;
6265;1110;щит;(щит).ъ;щитъ;2/m;n;;;;
6264;1108;щед;(щед).р.ъ;щедръ;2/a;a;;838;;
6263;1108;щед;(щед).р.от.а;щедрота;2/f;n;;838;;
6262;1107;шѧт;(шѧт).а.т.и;шѧтати;7;v;;;;
6261;1107;шѧт;(шѧт).а.н.ьj.е;шѧтаниѥ;2/n;n;;;;
6260;1099;шьд;(шьд).т.ьj.е;шьстиѥ;2/n;n;;659;;
6259;1099;шьд;(шьд).ств.ов.а.т.и;шьствовати;6;v;;659;;
6258;1099;шьд;(шьд).ств.ьj.е;шьствиѥ;2/n;n;;659;;
6257;1106;шьп;(шьп).ът.а.т.и;шьпътати;3;v;;;;
6256;1106;шьп;(шьп).ът.а.н.ьj.е;шьпътаниѥ;2/n;n;;;;
6255;1104;шум;(шум).ьн.ъ;шумьнъ;2/a;a;;;;
6254;1104;шум;(шум).ъ;шумъ;2/m;n;;;;
6253;1103;шуj;(шуj).иц.а;шуица;2/f;n;;;;
6252;1103;шуj;(шуj).ь;шуи;2/a;a;;;;
6251;1102;шлѣм;(шлѣм).ъ;шлѣмъ;2/m;n;;62;;
6244;1097;ши;(шиi̯).а;шиꙗ;2/f;n;;;;
6250;1105;шы;(шы).т.и;шити;4h*%);v;;729;;
6249;1101;шир;(шир).от.а;широта;2/f;n;;;;
6248;1101;шир;(шир).ок.ъ;широкъ;2/a;a;;;;
6247;1100;шип;(шип).ъч.ѣн.ъ;шипъчанъ;2/a;a;;;;
6246;1100;шип;(шип).ък.ъ;шипъкъ;2/m;n;;;;
6245;1098;шиб;(шиб).а.т.и;шибати;7;v;;;;
6243;1096;шест;(шест).ь;шесть;1/f;n;;;;
6242;1096;шест;(шест).ъ;шестъ;2/a;a;;;;
6241;1095;шар;(шар).ъч.ьj.и;шаръчии;2/f*;n;;;;
6240;1095;шар;(шар).ъ;шаръ;2/m;n;;;;
6239;1093;чѧст;(чѧст).ьн.ъ;чѧстьнъ;2/a;a;;;;
6238;1093;чѧст;(чѧст).ь;чѧсть;1/f;n;;;;
6237;1094;чѧст;(чѧст).ъ;чѧстъ;2/a;a;;;;
6236;1092;чѧд;(чѧд).ьц.е;чѧдьце;2/n;n;;;;
6235;1092;чѧд;(чѧд).ь;чѧдь;1/f;n;;;;
6234;1092;чѧд;(чѧд).о;чѧдо;2/n;n;;;;
6233;1076;чьт;(чьт).ьц.ь;чьтьць;2/m;n;;659;;
6232;359;ч;(ч).ь.т.о;чьто;0/p;a;;792;;
6231;1076;чьт;(чьт).ен.ьj.е;чьтениѥ;2/n;n;;659;;
6230;1076;чьт;(чьт).т.ьн.ъ;чьстьнъ;2/a;a;;659;;
6229;1076;чьт;(чьт).т.ь;чьсть;1/f;n;;659;;
6228;1076;чьт;(чьт).т.и.т.и;чьстити;1;v;;659;;
6227;1076;чьт;(чьт).т.ив.ъ;чьстивъ;2/a;a;;659;;
6226;1091;чьван;((чьван)).ъ;чьванъ;2/m;n;;;;
6225;1090;чу;(чу).т.и;чути;4v;v;;;;
6224;1090;чу;(чуi̯).ьств.о;чуиство;2/n;n;;;;
6223;1090;чу;(чу).д.ьн.ъ;чудьнъ;2/a;a;;;;
6222;1090;чу;(чу).д.о;чудо;0/n;n;;;;
6221;1090;чу;(чу).д.и.т.и;чудити;1;v;;;;
6198;1090;чу;(чу).д.ес.ьн.ъ;чудесьнъ;2/a;a;;;;
6197;1090;чу;(чу).в.ьств.ьн.ъ;чувьствьнъ;2/a;a;;;;
6196;1090;чу;(чу).в.ьств.ов.а.т.и;чувьствовати;6;v;;;;
6195;1090;чу;(чу).в.ьств.о;чувьство;2/n;n;;;;
6194;1090;чу;(чу).в.ьств.ьj.е;чувьствиѥ;2/n;n;;;;
6193;1088;чрѣз;(чрѣз).т.л.а;чрѣсла;2/n;n;;62;;
6192;1089;чрѣн;(чрѣн).ов.ьн.ъ;чрѣновьнъ;2/a;a;;62;;
6187;1087;чрѣжд;(чрѣжд).ен.ьj.е;чрѣждениѥ;2/n;n;;62;;
6191;1087;чрѣд;(чрѣд).а;чрѣда;2/f;n;;62;;
6190;1085;чрѣв;(чрѣв).ьн.ъ;чрѣвьнъ;2/a;a;;62;;
6189;1085;чрѣв;(чрѣв).о;чрѣво;2/n;n;;62;;
6188;1086;чрѣв;(чрѣв).ьj.ь;чрѣвии;2/m;n;;62;;
6186;1083;чрьтог;((чрьтог)).ъ;чрьтогъ;2/m;n;;62;;
6185;1082;чрьт;(чрьт).а.т.и;чрьтати;7;v;;62;;
6184;1082;чрьт;(чрьт).а;чрьта;2/f;n;;62;;
6183;1081;чрьп;(чрьп).а.т.и;чрьпати;3*;v;;62; 770;
6182;1080;чрьн;(чрьн).ьч.ьск.ъ;чрьньчьскъ;2/a;a;;62;;
